tolerance,radius,min_size,max_size,AUC
0.1,5,10,60,0.7555059523809523
0.1,5,10,70,0.7555059523809524
0.1,5,10,80,0.7555059523809524
0.1,5,10,90,0.7555059523809524
0.1,5,10,100,0.7555059523809524
0.1,5,10,110,0.7555059523809524
0.1,5,10,120,0.7555059523809524
0.1,5,10,130,0.7555059523809524
0.1,5,10,140,0.7555059523809524
0.1,5,10,150,0.7555059523809524
0.1,5,10,160,0.7555059523809524
0.1,5,10,170,0.7555059523809524
0.1,5,10,180,0.7555059523809524
0.1,5,10,190,0.7555059523809524
0.1,5,10,200,0.7555059523809524
0.1,5,10,210,0.7555059523809524
0.1,5,10,220,0.7555059523809524
0.1,5,10,230,0.7555059523809524
0.1,5,10,240,0.7555059523809524
0.1,5,10,250,0.7555059523809524
0.1,5,10,260,0.7555059523809524
0.1,5,10,270,0.7555059523809524
0.1,5,10,280,0.7555059523809524
0.1,5,10,290,0.7555059523809524
0.1,5,10,300,0.7555059523809524
0.1,5,10,310,0.7555059523809524
0.1,5,10,320,0.7555059523809524
0.1,5,10,330,0.7555059523809524
0.1,5,10,340,0.7555059523809524
0.1,5,10,350,0.7555059523809524
0.1,5,10,360,0.7555059523809524
0.1,5,10,370,0.7555059523809524
0.1,5,10,380,0.7555059523809524
0.1,5,10,390,0.7555059523809524
0.1,5,15,65,0.7428571428571429
0.1,5,15,75,0.7428571428571429
0.1,5,15,85,0.7428571428571429
0.1,5,15,95,0.7428571428571429
0.1,5,15,105,0.7428571428571429
0.1,5,15,115,0.7428571428571429
0.1,5,15,125,0.7428571428571429
0.1,5,15,135,0.7428571428571429
0.1,5,15,145,0.7428571428571429
0.1,5,15,155,0.7428571428571429
0.1,5,15,165,0.7428571428571429
0.1,5,15,175,0.7428571428571429
0.1,5,15,185,0.7428571428571429
0.1,5,15,195,0.7428571428571429
0.1,5,15,205,0.7428571428571429
0.1,5,15,215,0.7428571428571429
0.1,5,15,225,0.7428571428571429
0.1,5,15,235,0.7428571428571429
0.1,5,15,245,0.7428571428571429
0.1,5,15,255,0.7428571428571429
0.1,5,15,265,0.7428571428571429
0.1,5,15,275,0.7428571428571429
0.1,5,15,285,0.7428571428571429
0.1,5,15,295,0.7428571428571429
0.1,5,15,305,0.7428571428571429
0.1,5,15,315,0.7428571428571429
0.1,5,15,325,0.7428571428571429
0.1,5,15,335,0.7428571428571429
0.1,5,15,345,0.7428571428571429
0.1,5,15,355,0.7428571428571429
0.1,5,15,365,0.7428571428571429
0.1,5,15,375,0.7428571428571429
0.1,5,15,385,0.7428571428571429
0.1,5,15,395,0.7428571428571429
0.1,5,20,70,0.7116071428571429
0.1,5,20,80,0.7116071428571429
0.1,5,20,90,0.7116071428571429
0.1,5,20,100,0.7116071428571429
0.1,5,20,110,0.7116071428571429
0.1,5,20,120,0.7116071428571429
0.1,5,20,130,0.7116071428571429
0.1,5,20,140,0.7116071428571429
0.1,5,20,150,0.7116071428571429
0.1,5,20,160,0.7116071428571429
0.1,5,20,170,0.7116071428571429
0.1,5,20,180,0.7116071428571429
0.1,5,20,190,0.7116071428571429
0.1,5,20,200,0.7116071428571429
0.1,5,20,210,0.7116071428571429
0.1,5,20,220,0.7116071428571429
0.1,5,20,230,0.7116071428571429
0.1,5,20,240,0.7116071428571429
0.1,5,20,250,0.7116071428571429
0.1,5,20,260,0.7116071428571429
0.1,5,20,270,0.7116071428571429
0.1,5,20,280,0.7116071428571429
0.1,5,20,290,0.7116071428571429
0.1,5,20,300,0.7116071428571429
0.1,5,20,310,0.7116071428571429
0.1,5,20,320,0.7116071428571429
0.1,5,20,330,0.7116071428571429
0.1,5,20,340,0.7116071428571429
0.1,5,20,350,0.7116071428571429
0.1,5,20,360,0.7116071428571429
0.1,5,20,370,0.7116071428571429
0.1,5,20,380,0.7116071428571429
0.1,5,20,390,0.7116071428571429
0.1,5,25,75,0.7257440476190476
0.1,5,25,85,0.7257440476190476
0.1,5,25,95,0.7257440476190476
0.1,5,25,105,0.7257440476190476
0.1,5,25,115,0.7257440476190476
0.1,5,25,125,0.7257440476190476
0.1,5,25,135,0.7257440476190476
0.1,5,25,145,0.7257440476190476
0.1,5,25,155,0.7257440476190476
0.1,5,25,165,0.7257440476190476
0.1,5,25,175,0.7257440476190476
0.1,5,25,185,0.7257440476190476
0.1,5,25,195,0.7257440476190476
0.1,5,25,205,0.7257440476190476
0.1,5,25,215,0.7257440476190476
0.1,5,25,225,0.7257440476190476
0.1,5,25,235,0.7257440476190476
0.1,5,25,245,0.7257440476190476
0.1,5,25,255,0.7257440476190476
0.1,5,25,265,0.7257440476190476
0.1,5,25,275,0.7257440476190476
0.1,5,25,285,0.7257440476190476
0.1,5,25,295,0.7257440476190476
0.1,5,25,305,0.7257440476190476
0.1,5,25,315,0.7257440476190476
0.1,5,25,325,0.7257440476190476
0.1,5,25,335,0.7257440476190476
0.1,5,25,345,0.7257440476190476
0.1,5,25,355,0.7257440476190476
0.1,5,25,365,0.7257440476190476
0.1,5,25,375,0.7257440476190476
0.1,5,25,385,0.7257440476190476
0.1,5,25,395,0.7257440476190476
0.1,5,30,80,0.7257440476190476
0.1,5,30,90,0.7257440476190476
0.1,5,30,100,0.7257440476190476
0.1,5,30,110,0.7257440476190476
0.1,5,30,120,0.7257440476190476
0.1,5,30,130,0.7257440476190476
0.1,5,30,140,0.7257440476190476
0.1,5,30,150,0.7257440476190476
0.1,5,30,160,0.7257440476190476
0.1,5,30,170,0.7257440476190476
0.1,5,30,180,0.7257440476190476
0.1,5,30,190,0.7257440476190476
0.1,5,30,200,0.7257440476190476
0.1,5,30,210,0.7257440476190476
0.1,5,30,220,0.7257440476190476
0.1,5,30,230,0.7257440476190476
0.1,5,30,240,0.7257440476190476
0.1,5,30,250,0.7257440476190476
0.1,5,30,260,0.7257440476190476
0.1,5,30,270,0.7257440476190476
0.1,5,30,280,0.7257440476190476
0.1,5,30,290,0.7257440476190476
0.1,5,30,300,0.7257440476190476
0.1,5,30,310,0.7257440476190476
0.1,5,30,320,0.7257440476190476
0.1,5,30,330,0.7257440476190476
0.1,5,30,340,0.7257440476190476
0.1,5,30,350,0.7257440476190476
0.1,5,30,360,0.7257440476190476
0.1,5,30,370,0.7257440476190476
0.1,5,30,380,0.7257440476190476
0.1,5,30,390,0.7257440476190476
0.1,5,35,85,0.7142857142857143
0.1,5,35,95,0.7142857142857143
0.1,5,35,105,0.7142857142857143
0.1,5,35,115,0.7142857142857143
0.1,5,35,125,0.7142857142857143
0.1,5,35,135,0.7142857142857143
0.1,5,35,145,0.7142857142857143
0.1,5,35,155,0.7142857142857143
0.1,5,35,165,0.7142857142857143
0.1,5,35,175,0.7142857142857143
0.1,5,35,185,0.7142857142857143
0.1,5,35,195,0.7142857142857143
0.1,5,35,205,0.7142857142857143
0.1,5,35,215,0.7142857142857143
0.1,5,35,225,0.7142857142857143
0.1,5,35,235,0.7142857142857143
0.1,5,35,245,0.7142857142857143
0.1,5,35,255,0.7142857142857143
0.1,5,35,265,0.7142857142857143
0.1,5,35,275,0.7142857142857143
0.1,5,35,285,0.7142857142857143
0.1,5,35,295,0.7142857142857143
0.1,5,35,305,0.7142857142857143
0.1,5,35,315,0.7142857142857143
0.1,5,35,325,0.7142857142857143
0.1,5,35,335,0.7142857142857143
0.1,5,35,345,0.7142857142857143
0.1,5,35,355,0.7142857142857143
0.1,5,35,365,0.7142857142857143
0.1,5,35,375,0.7142857142857143
0.1,5,35,385,0.7142857142857143
0.1,5,35,395,0.7142857142857143
0.1,5,40,90,0.7142857142857143
0.1,5,40,100,0.7142857142857143
0.1,5,40,110,0.7142857142857143
0.1,5,40,120,0.7142857142857143
0.1,5,40,130,0.7142857142857143
0.1,5,40,140,0.7142857142857143
0.1,5,40,150,0.7142857142857143
0.1,5,40,160,0.7142857142857143
0.1,5,40,170,0.7142857142857143
0.1,5,40,180,0.7142857142857143
0.1,5,40,190,0.7142857142857143
0.1,5,40,200,0.7142857142857143
0.1,5,40,210,0.7142857142857143
0.1,5,40,220,0.7142857142857143
0.1,5,40,230,0.7142857142857143
0.1,5,40,240,0.7142857142857143
0.1,5,40,250,0.7142857142857143
0.1,5,40,260,0.7142857142857143
0.1,5,40,270,0.7142857142857143
0.1,5,40,280,0.7142857142857143
0.1,5,40,290,0.7142857142857143
0.1,5,40,300,0.7142857142857143
0.1,5,40,310,0.7142857142857143
0.1,5,40,320,0.7142857142857143
0.1,5,40,330,0.7142857142857143
0.1,5,40,340,0.7142857142857143
0.1,5,40,350,0.7142857142857143
0.1,5,40,360,0.7142857142857143
0.1,5,40,370,0.7142857142857143
0.1,5,40,380,0.7142857142857143
0.1,5,40,390,0.7142857142857143
0.1,5,45,95,0.6285714285714286
0.1,5,45,105,0.6285714285714286
0.1,5,45,115,0.6285714285714286
0.1,5,45,125,0.6285714285714286
0.1,5,45,135,0.6285714285714286
0.1,5,45,145,0.6285714285714286
0.1,5,45,155,0.6285714285714286
0.1,5,45,165,0.6285714285714286
0.1,5,45,175,0.6285714285714286
0.1,5,45,185,0.6285714285714286
0.1,5,45,195,0.6285714285714286
0.1,5,45,205,0.6285714285714286
0.1,5,45,215,0.6285714285714286
0.1,5,45,225,0.6285714285714286
0.1,5,45,235,0.6285714285714286
0.1,5,45,245,0.6285714285714286
0.1,5,45,255,0.6285714285714286
0.1,5,45,265,0.6285714285714286
0.1,5,45,275,0.6285714285714286
0.1,5,45,285,0.6285714285714286
0.1,5,45,295,0.6285714285714286
0.1,5,45,305,0.6285714285714286
0.1,5,45,315,0.6285714285714286
0.1,5,45,325,0.6285714285714286
0.1,5,45,335,0.6285714285714286
0.1,5,45,345,0.6285714285714286
0.1,5,45,355,0.6285714285714286
0.1,5,45,365,0.6285714285714286
0.1,5,45,375,0.6285714285714286
0.1,5,45,385,0.6285714285714286
0.1,5,45,395,0.6285714285714286
0.1,5,50,100,0.6
0.1,5,50,110,0.6
0.1,5,50,120,0.6
0.1,5,50,130,0.6
0.1,5,50,140,0.6
0.1,5,50,150,0.6
0.1,5,50,160,0.6
0.1,5,50,170,0.6
0.1,5,50,180,0.6
0.1,5,50,190,0.6
0.1,5,50,200,0.6
0.1,5,50,210,0.6
0.1,5,50,220,0.6
0.1,5,50,230,0.6
0.1,5,50,240,0.6
0.1,5,50,250,0.6
0.1,5,50,260,0.6
0.1,5,50,270,0.6
0.1,5,50,280,0.6
0.1,5,50,290,0.6
0.1,5,50,300,0.6
0.1,5,50,310,0.6
0.1,5,50,320,0.6
0.1,5,50,330,0.6
0.1,5,50,340,0.6
0.1,5,50,350,0.6
0.1,5,50,360,0.6
0.1,5,50,370,0.6
0.1,5,50,380,0.6
0.1,5,50,390,0.6
0.1,5,55,105,0.5857142857142856
0.1,5,55,115,0.5857142857142856
